model_name,source,size_gb,license,use_case_tags,ollama_id,link,notes
Llama-3-8B-Instruct,Meta,4.7,Llama 3 Community License,"chat,coding,summarization,general,python",llama3,https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct,"Excellent all-around model, very capable."
Phi-3-mini-4k-instruct,Microsoft,2.3,MIT License,"coding,chat,mobile,fast,summarization,lightweight",phi3,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,"Extremely fast and lightweight, great for CPU and mobile devices."
codegemma-7b,Google,4.9,Gemma Terms of Use,"coding,python,javascript,technical",codegemma,https://huggingface.co/google/codegemma,"Specialized for high-quality code generation."
Mistral-7B-Instruct,Mistral AI,4.1,Apache 2.0,"chat,general,writing,multilingual",mistral,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,"Strong open-source model with a permissive license."
gemma-2b,Google,1.4,Gemma Terms of Use,"chat,lightweight,research,mobile",gemma:2b,https://huggingface.co/google/gemma-2b,"A very small model, good for simple tasks and research."
Qwen2-7B-Instruct,Alibaba,4.5,Apache 2.0,"chat,multilingual,coding,general",qwen2,https://huggingface.co/Qwen/Qwen2-7B-Instruct,"Excellent multilingual capabilities and strong reasoning."
Command-R,Cohere,6.9,CC-BY-NC 4.0,"chat,enterprise,rag,tool-use,technical",command-r,https://huggingface.co/CohereForAI/c4ai-command-r-v01,"Designed for enterprise use, RAG, and tool use."
Llama-3-70B-Instruct,Meta,40.0,Llama 3 Community License,"chat,coding,reasoning,enterprise,technical",llama3:70b,https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct,"A very large and powerful model for complex reasoning tasks. Requires significant hardware."
CodeLlama-7b,Meta,3.8,Llama 2 License,"coding,python,javascript,technical",codellama,https://huggingface.co/codellama/CodeLlama-7b-hf,"A foundational model specialized in code."
DBRX-Instruct,Databricks,25.0,Databricks Open Model License,"chat,coding,enterprise,summarization,sql",dbrx,https://huggingface.co/databricks/dbrx-instruct,"A powerful mixture-of-experts model, strong on enterprise data and SQL."
